Column 1,Spell.txt Column 137,Index,Spell.txt Column 209
1655,Improved Whirlwind,1,4
1865,Furious Attacks,1,0
1658,Improved Berserker Stance,1,4
1868,Heroic Fury,1,0
1659,Rampage,1,4
1866,Bloodsurge,1,4
2234,Unending Fury,1,4
1867,Titan's Grip,1,4
203,Improved Gouge,1,8
201,Improved Sinister Strike,1,8
221,Dual Wield Specialization,1,8
1827,Improved Slice and Dice,1,8
187,Deflection,1,0
181,Precision,1,0
204,Endurance,1,8
301,Riposte,1,8
182,Close Quarters Combat,1,0
206,Improved Kick,1,8
222,Improved Sprint,1,8
186,Lightning Reflexes,1,0
1122,Aggression,1,8
184,Mace Specialization,1,0
223,Blade Flurry,1,8
242,Hack and Slash,1,0
1703,Weapon Expertise,1,0
1706,Blade Twisting,1,8
1705,Vitality,1,0
205,Adrenaline Rush,1,8
1707,Nerves of Steel,1,0
2072,Throwing Specialization,1,8
1825,Combat Potency,1,8
2073,Unfair Advantage,1,0
1709,Surprise Attacks,1,8
2074,Savage Combat,1,8
2075,Prey on the Weak,1,0
2076,Killing Spree,1,8
276,Improved Eviscerate,1,8
272,Remorseless Attacks,1,0
270,Malice,1,0
273,Ruthlessness,1,8
2068,Blood Spatter,1,8
277,Puncturing Wounds,1,8
382,Vigor,1,8
278,Improved Expose Armor,1,8
269,Lethality,1,8
682,Vile Poisons,1,8
268,Improved Poisons,1,8
1721,Fleet Footed,1,0
280,Cold Blood,1,8
279,Improved Kidney Shot,1,8
1762,Quick Recovery,1,8
283,Seal Fate,1,8
274,Murder,1,8
2065,Deadly Brew,1,8
281,Overkill,1,0
1723,Deadened Nerves,1,8
2069,Focused Attacks,1,0
1718,Find Weakness,1,8
1715,Master Poisoner,1,8
1719,Mutilate,1,8
2066,Turn the Tables,1,0
2070,Cut to the Chase,1,8
2071,Hunger For Blood,1,8
2244,Relentless Strikes,1,8
241,Master of Deception,1,0
261,Opportunity,1,8
1700,Sleight of Hand,1,8
262,Dirty Tricks,1,8
244,Camouflage,1,8
247,Elusiveness,1,8
303,Ghostly Strike,1,8
1123,Serrated Blades,1,8
246,Setup,1,0
245,Initiative,1,8
263,Improved Ambush,1,8
1701,Heightened Senses,1,0
284,Preparation,1,8
265,Dirty Deeds,1,8
681,Hemorrhage,1,8
1713,Master of Subtlety,1,0
1702,Deadliness,1,0
1711,Enveloping Shadows,1,0
381,Premeditation,1,8
1722,Cheat Death,1,8
1712,Sinister Calling,1,8
2077,Waylay,1,8
2078,Honor Among Thieves,1,0
1714,Shadowstep,1,8
2079,Filthy Tricks,1,8
2080,Slaughter from the Shadows,1,8
2081,Shadow Dance,1,8
342,Unbreakable Will,1,0
1898,Twin Disciplines,1,6
352,Silent Resolve,1,6
346,Improved Inner Fire,1,6
344,Improved Power Word: Fortitude,1,6
321,Martyrdom,1,0
347,Meditation,1,0
348,Inner Focus,1,6
343,Improved Power Word: Shield,1,6
1769,Absolution,1,6
341,Mental Agility,1,6
350,Improved Mana Burn,1,6
2268,Reflective Shield,1,6
1201,Mental Strength,1,0
351,Soul Warding,1,6
1771,Focused Power,1,6
1772,Enlightenment,1,6
1858,Focused Will,1,0
322,Power Infusion,1,6
1773,Improved Flash Heal,1,6
2235,Renewed Hope,1,6
1896,Rapture,1,6
1894,Aspiration,1,6
1895,Divine Aegis,1,6
1774,Pain Suppression,1,6
1901,Grace,1,6
1202,Borrowed Time,1,6
1897,Penance,1,6
410,Healing Focus,1,6
406,Improved Renew,1,6
401,Holy Specialization,1,6
411,Spell Warding,1,6
1181,Divine Fury,1,6
442,Desperate Prayer,1,6
1636,Blessed Recovery,1,6
361,Inspiration,1,6
1635,Holy Reach,1,6
408,Improved Healing,1,6
403,Searing Light,1,6
413,Healing Prayers,1,6
1561,Spirit of Redemption,1,6
402,Spiritual Guidance,1,6
1766,Surge of Light,1,6
404,Spiritual Healing,1,6
1768,Holy Concentration,1,6
1637,Lightwell,1,6
1765,Blessed Resilience,1,6
2279,Body and Soul,1,6
1767,Empowered Healing,1,6
1904,Serendipity,1,6
1902,Empowered Renew,1,6
1815,Circle of Healing,1,6
1903,Test of Faith,1,6
1905,Divine Providence,1,6
1911,Guardian Spirit,1,6
465,Spirit Tap,1,0
2027,Improved Spirit Tap,1,6
462,Darkness,1,6
466,Shadow Affinity,1,6
482,Improved Shadow Word: Pain,1,6
463,Shadow Focus,1,6
542,Improved Psychic Scream,1,6
481,Improved Mind Blast,1,6
501,Mind Flay,1,6
483,Veiled Shadows,1,6
881,Shadow Reach,1,6
461,Shadow Weaving,1,6
541,Silence,1,6
484,Vampiric Embrace,1,6
1638,Improved Vampiric Embrace,1,6
1777,Focused Mind,1,6
1781,Mind Melt,1,6
2267,Improved Devouring Plague,1,6
521,Shadowform,1,6
1778,Shadow Power,1,6
1906,Improved Shadowform,1,6
1816,Misery,1,6
1908,Psychic Horror,1,6
1779,Vampiric Touch,1,6
1909,Pain and Suffering,1,6
1907,Twisted Faith,1,6
1910,Dispersion,1,6
564,Convection,1,11
563,Concussion,1,11
561,Call of Flame,1,11
1640,Elemental Warding,1,11
1645,Elemental Devastation,1,11
575,Reverberation,1,11
574,Elemental Focus,1,11
565,Elemental Fury,1,11
567,Improved Fire Nova,1,11
1642,Eye of the Storm,1,11
1641,Elemental Reach,1,11
562,Call of Thunder,1,11
1682,Unrelenting Storm,1,11
1685,Elemental Precision,1,11
721,Lightning Mastery,1,11
573,Elemental Mastery,1,11
2052,"Storm, Earth and Fire",1,11
2262,Booming Echoes,1,11
2049,Elemental Oath,1,11
1686,Lightning Overload,1,11
2050,Astral Shift,1,11
1687,Totem of Wrath,1,11
2051,Lava Flows,1,11
2252,Shamanism,1,11
2053,Thunderstorm,1,11
586,Improved Healing Wave,1,11
595,Totemic Focus,1,11
589,Improved Reincarnation,1,11
1646,Healing Grace,1,11
593,Tidal Focus,1,11
583,Improved Water Shield,1,11
587,Healing Focus,1,11
582,Tidal Force,1,11
581,Ancestral Healing,1,11
588,Restorative Totems,1,11
594,Tidal Mastery,1,11
1648,Healing Way,1,11
591,Nature's Swiftness,1,11
1695,Focused Mind,1,11
592,Purification,1,11
1699,Nature's Guardian,1,11
590,Mana Tide Totem,1,11
2084,Cleanse Spirit,1,11
2060,Blessing of the Eternals,1,11
1697,Improved Chain Heal,1,11
1696,Nature's Blessing,1,11
2061,Ancestral Awakening,1,11
1698,Earth Shield,1,11
2059,Improved Earth Shield,1,11
2063,Tidal Waves,1,11
2064,Riptide,1,11
610,Enhancing Totems,1,11
2101,Earth's Grasp,1,11
614,Ancestral Knowledge,1,0
609,Guardian Totems,1,11
613,Thundering Strikes,1,0
605,Improved Ghost Wolf,1,11
607,Improved Shields,1,11
611,Elemental Weapons,1,11
617,Shamanistic Focus,1,11
601,Anticipation,1,0
602,Flurry,1,0
615,Toughness,1,0
1647,Improved Windfury Totem,1,11
616,Spirit Weapons,1,0
2083,Mental Dexterity,1,11
1689,Unleashed Rage,1,0
1643,Weapon Mastery,1,0
2263,Frozen Power,1,11
1692,Dual Wield Specialization,1,8
1690,Dual Wield,1,0
901,Stormstrike,1,11
2055,Static Shock,1,11
2249,Lava Lash,1,11
2054,Improved Stormstrike,1,11
1691,Mental Quickness,1,11
1693,Shamanistic Rage,1,11
2056,Earthen Power,1,11
2057,Maelstrom Weapon,1,11
2058,Feral Spirit,1,11
796,Ferocity,1,7
795,Feral Aggression,1,7
799,Feral Instinct,1,7
805,Savage Fury,1,7
794,Thick Hide,1,0
807,Feral Swiftness,1,7
1162,Survival Instincts,1,7
798,Sharpened Claws,1,0
802,Shredding Attacks,1,7
803,Predatory Strikes,1,7
801,Primal Fury,1,0
1914,Primal Precision,1,7
797,Brutal Impact,1,7
804,Feral Charge,1,0
1792,Nurturing Instinct,1,7
2242,Natural Reaction,1,7
808,Heart of the Wild,1,0
1794,Survival of the Fittest,1,7
809,Leader of the Pack,1,7
1798,Improved Leader of the Pack,1,7
1793,Primal Tenacity,1,7
2241,Protector of the Pack,1,7
1795,Predatory Instincts,1,7
1919,Infected Wounds,1,7
1921,King of the Jungle,1,7
1796,Mangle,1,0
1920,Improved Mangle,1,7
1918,Rend and Tear,1,7
2266,Primal Gore,1,7
1927,Berserk,1,7
821,Improved Mark of the Wild,1,7
823,Nature's Focus,1,7
822,Furor,1,7
824,Naturalist,1,7
841,Subtlety,1,7
826,Natural Shapeshifter,1,7
829,Intensity,1,7
827,Omen of Clarity,1,7
1915,Master Shapeshifter,1,0
843,Tranquil Spirit,1,7
830,Improved Rejuvenation,1,7
831,Nature's Swiftness,1,7
828,Gift of Nature,1,7
842,Improved Tranquility,1,7
1788,Empowered Touch,1,7
825,Nature's Bounty,1,7
1797,Living Spirit,1,7
844,Swiftmend,1,7
1790,Natural Perfection,1,7
1789,Empowered Rejuvenation,1,7
1922,Living Seed,1,7
1929,Revitalize,1,7
1791,Tree of Life,1,0
1930,Improved Tree of Life,1,7
2264,Improved Barkskin,1,7
1916,Gift of the Earthmother,1,7
1917,Wild Growth,1,7
762,Starlight Wrath,1,7
2238,Genesis,1,7
783,Moonglow,1,7
1822,Nature's Majesty,1,7
763,Improved Moonfire,1,7
782,Brambles,1,7
789,Nature's Grace,1,7
2240,Nature's Splendor,1,7
764,Nature's Reach,1,7
792,Vengeance,1,7
784,Celestial Focus,1,7
1782,Lunar Guidance,1,7
788,Insect Swarm,1,7
2239,Improved Insect Swarm,1,7
1784,Dreamstate,1,7
790,Moonfury,1,7
1783,Balance of Power,1,7
793,Moonkin Form,1,7
1912,Improved Moonkin Form,1,7
1785,Improved Faerie Fire,1,7
1913,Owlkin Frenzy,1,3
1786,Wrath of Cenarius,1,7
1924,Eclipse,1,7
1923,Typhoon,1,7
1787,Force of Nature,1,7
1925,Gale Winds,1,7
1928,Earth and Moon,1,7
1926,Starfall,1,7
944,Improved Shadow Bolt,1,5
943,Bane,1,5
982,Aftermath,1,5
1887,Molten Skin,1,8
941,Cataclysm,1,5
983,Demonic Power,1,5
963,Shadowburn,1,5
967,Ruin,1,5
985,Intensity,1,5
964,Destructive Reach,1,5
965,Improved Searing Pain,1,5
1817,Backlash,1,3
961,Improved Immolate,1,5
981,Devastation,1,5
1679,Nether Protection,1,5
966,Emberstorm,1,5
968,Conflagrate,1,5
1678,Soul Leech,1,5
986,Pyroclasm,1,5
1677,Shadow and Flame,1,5
1889,Improved Soul Leech,1,5
1888,Backdraft,1,5
1676,Shadowfury,1,5
2045,Empowered Imp,1,5
1890,Fire and Brimstone,1,5
1891,Chaos Bolt,1,5
1284,Improved Curse of Agony,1,5
1005,Suppression,1,5
1003,Improved Corruption,1,5
1006,Improved Curse of Weakness,1,5
1101,Improved Drain Soul,1,5
1007,Improved Life Tap,1,5
1004,Soul Siphon,1,5
2205,Improved Fear,1,5
1001,Fel Concentration,1,5
1061,Amplify Curse,1,5
1021,Grim Reach,1,5
1002,Nightfall,1,5
1764,Empowered Corruption,1,5
1763,Shadow Embrace,1,5
1041,Siphon Life,1,5
1081,Curse of Exhaustion,1,5
1873,Improved Felhunter,1,5
1042,Shadow Mastery,1,5
1878,Eradication,1,5
1669,Contagion,1,5
1022,Dark Pact,1,5
1668,Improved Howl of Terror,1,5
1667,Malediction,1,5
1875,Death's Embrace,1,5
1670,Unstable Affliction,1,5
2245,Pandemic,1,5
1876,Everlasting Affliction,1,5
2041,Haunt,1,5
1221,Improved Healthstone,1,5
1222,Improved Imp,1,5
1223,Demonic Embrace,1,0
1883,Fel Synergy,1,5
1224,Improved Health Funnel,1,5
1225,Demonic Brutality,1,5
1242,Fel Vitality,1,5
1243,Improved Succubus,1,5
1282,Soul Link,1,5
1226,Fel Domination,1,5
1671,Demonic Aegis,1,5
1262,Unholy Power,1,5
1227,Master Summoner,1,5
1281,Mana Feed,1,5
1261,Master Conjuror,1,5
1244,Master Demonologist,1,0
1283,Molten Core,1,5
1680,Demonic Resilience,1,5
1880,Demonic Empowerment,1,5
1263,Demonic Knowledge,1,5
1673,Demonic Tactics,1,5
2261,Decimation,1,5
1882,Improved Demonic Tactics,1,5
1672,Summon Felguard,1,5
1884,Nemesis,1,5
1885,Demonic Pact,1,5
1886,Metamorphosis,1,5
1382,Improved Aspect of the Hawk,1,9
1389,Endurance Training,1,9
1624,Focused Fire,1,9
1381,Improved Aspect of the Monkey,1,9
1395,Thick Hide,1,9
1625,Improved Revive Pet,1,9
1384,Pathfinding,1,9
2138,Aspect Mastery,1,9
1396,Unleashed Fury,1,9
1385,Improved Mend Pet,1,9
1393,Ferocity,1,9
1388,Spirit Bond,1,0
1387,Intimidation,1,9
1390,Bestial Discipline,1,9
1799,Animal Handler,1,9
1397,Frenzy,1,9
1800,Ferocious Inspiration,1,9
1386,Bestial Wrath,1,9
1801,Catlike Reflexes,1,9
2136,Invigoration,1,9
1802,Serpent's Swiftness,1,9
2140,Longevity,1,9
1803,The Beast Within,1,9
2137,Cobra Strikes,1,9
2227,Kindred Spirits,1,9
2139,Beast Mastery,1,9
1623,Improved Tracking,1,9
1820,Hawk Eye,1,9
1621,Savage Strikes,1,9
1310,Surefooted,1,9
1304,Entrapment,1,9
1305,Trap Mastery,1,9
1810,Survival Instincts,1,9
1622,Survivalist,1,9
1814,Scatter Shot,1,9
1311,Deflection,1,0
1309,Survival Tactics,1,9
2229,T.N.T.,1,9
1306,Lock and Load,1,9
2228,Hunter vs. Wild,1,9
1321,Killer Instinct,1,0
1312,Counterattack,1,9
1303,Lightning Reflexes,1,0
1809,Resourcefulness,1,9
1812,Expose Weakness,1,9
1325,Wyvern Sting,1,9
1811,Thrill of the Hunt,1,9
1813,Master Tactician,1,9
2141,Noxious Stings,1,9
2142,Point of No Escape,1,9
1322,Black Arrow,1,9
2143,Sniper Training,1,9
2144,Hunting Party,1,9
2145,Explosive Shot,1,9
1341,Improved Concussive Shot,1,9
2197,Focused Aim,1,9
1344,Lethal Shots,1,0
1806,Careful Aim,1,9
1343,Improved Hunter's Mark,1,9
1349,Mortal Shots,1,9
1818,Go for the Throat,1,9
1346,Improved Arcane Shot,1,9
1345,Aimed Shot,1,9
1819,Rapid Killing,1,9
1348,Improved Stings,1,9
1342,Efficiency,1,9
1351,Concussive Barrage,1,9
1353,Readiness,1,9
1347,Barrage,1,9
1804,Combat Experience,1,9
1362,Ranged Weapon Specialization,1,0
2130,Piercing Shots,1,9
1361,Trueshot Aura,1,9
1821,Improved Barrage,1,9
1807,Master Marksman,1,9
2131,Rapid Recuperation,1,9
2132,Wild Quiver,1,9
1808,Silencing Shot,1,9
2133,Improved Steady Shot,1,9
2134,Marked for Death,1,9
2135,Chimera Shot,1,9
1403,Deflection,1,0
1407,Benediction,1,10
1631,Improved Judgements,1,10
1464,Heart of the Crusader,1,10
1401,Improved Blessing of Might,1,10
1633,Vindication,1,0
1411,Conviction,1,0
1481,Seal of Command,1,10
1634,Pursuit of Justice,1,0
1632,Eye for an Eye,1,0
1761,Sanctity of Battle,1,10
1755,Crusade,1,0
1410,Two-Handed Weapon Specialization,1,0
1756,Sanctified Retribution,1,10
1402,Vengeance,1,0
1757,Divine Purpose,1,0
2176,The Art of War,1,10
1441,Repentance,1,10
1758,Judgements of the Wise,1,10
1759,Fanaticism,1,10
2147,Sanctified Wrath,1,10
2148,Swift Retribution,1,10
1823,Crusader Strike,1,10
2179,Sheath of Light,1,10
2149,Righteous Vengeance,1,10
2150,Divine Storm,1,10
1432,Spiritual Focus,1,10
1463,Seals of the Pure,1,10
1444,Healing Light,1,10
1449,Divine Intellect,1,0
1628,Unyielding Faith,1,0
1435,Aura Mastery,1,10
1461,Illumination,1,10
1443,Improved Lay on Hands,1,10
1450,Improved Concentration Aura,1,10
1446,Improved Blessing of Wisdom,1,10
2198,Blessed Hands,1,10
1742,Pure of Heart,1,10
1433,Divine Favor,1,10
1465,Sanctified Light,1,10
1743,Purifying Power,1,10
1627,Holy Power,1,0
1745,Light's Grace,1,10
1502,Holy Shock,1,10
1744,Blessed Life,1,10
2190,Sacred Cleansing,1,10
1746,Holy Guidance,1,10
1747,Divine Illumination,1,10
2199,Judgements of the Pure,1,10
2193,Infusion of Light,1,10
2191,Enlightened Judgements,1,10
2192,Beacon of Light,1,10
1442,Divinity,1,0
2185,Divine Strength,1,0
1748,Stoicism,1,10
1425,Guardian's Favor,1,10
1629,Anticipation,1,0
2280,Divine Sacrifice,1,10
1501,Improved Righteous Fury,1,10
1423,Toughness,1,0
2281,Divine Guardian,1,10
1521,Improved Hammer of Justice,1,10
1422,Improved Devotion Aura,1,10
1431,Blessing of Sanctuary,1,10
1426,Reckoning,1,0
1750,Sacred Duty,1,10
1429,One-Handed Weapon Specialization,1,0
2282,Spiritual Attunement,1,10
1430,Holy Shield,1,10
1751,Ardent Defender,1,10
1421,Redoubt,1,0
1753,Combat Expertise,1,10
2195,Touched by the Light,1,10
1754,Avenger's Shield,1,10
2194,Guarded by the Light,1,10
2204,Shield of the Templar,1,10
2200,Judgements of the Just,1,10
2196,Hammer of the Righteous,1,10
1939,Butchery,1,15
1945,Subversion,1,15
2017,Blade Barrier,1,15
1938,Bladed Armor,1,15
1948,Scent of Blood,1,0
2217,Two-Handed Weapon Specialization,1,0
1941,Rune Tap,1,15
1943,Dark Conviction,1,0
2086,Death Rune Mastery,1,15
1942,Improved Rune Tap,1,15
2018,Spell Deflection,1,0
1953,Vendetta,1,15
2015,Bloody Strikes,1,15
1950,Veteran of the Third War,1,0
1949,Mark of Blood,1,15
1944,Bloody Vengeance,1,0
2105,Abomination's Might,1,15
1960,Bloodworms,1,15
1954,Hysteria,1,15
1936,Improved Blood Presence,1,15
2259,Improved Death Strike,1,15
1955,Sudden Doom,1,15
2019,Vampiric Blood,1,15
1959,Will of the Necropolis,1,15
1957,Heart Strike,1,15
1958,Might of Mograine,1,15
2034,Blood Gorged,1,15
1961,Dancing Rune Weapon,1,15
2031,Improved Icy Touch,1,15
2020,Runic Power Mastery,1,15
1968,Toughness,1,0
2035,Icy Reach,1,15
1973,Black Ice,1,15
2022,Nerves of Cold Steel,1,0
2042,Icy Talons,1,15
2215,Lichborne,1,15
2048,Annihilation,1,15
2044,Killing Machine,1,15
1981,Chill of the Grave,1,15
1971,Endless Winter,1,15
1990,Frigid Dreadplate,1,15
2030,Glacier Rot,1,15
1980,Deathchill,1,15
2223,Improved Icy Talons,1,15
1993,Merciless Combat,1,15
1992,Rime,1,15
2260,Chilblains,1,15
1999,Hungering Cold,1,15
2029,Improved Frost Presence,1,15
2284,Threat of Thassarian,1,15
2210,Blood of the North,1,15
1979,Unbreakable Armor,1,15
1997,Acclimation,1,15
1975,Frost Strike,1,15
2040,Guile of Gorefiend,1,15
1998,Tundra Stalker,1,15
1989,Howling Blast,1,15
2082,Vicious Strikes,1,15
1932,Virulence,1,15
2218,Anticipation,1,0
1963,Epidemic,1,15
1933,Morbidity,1,15
2025,Unholy Command,1,15
1934,Ravenous Dead,1,15
2008,Outbreak,1,15
2047,Necrosis,1,15
1985,Corpse Explosion,1,15
2039,On a Pale Horse,1,15
2004,Blood-Caked Blade,1,15
2225,Night of the Dead,1,15
1996,Unholy Blight,1,15
2005,Impurity,1,7
2011,Dirge,1,15
2226,Desecration,1,15
2009,Magic Suppression,1,15
2001,Reaping,1,15
1984,Master of Ghouls,1,15
2285,Desolation,1,15
2221,Anti-Magic Zone,1,15
2013,Improved Unholy Presence,1,15
2085,Ghoul Frenzy,1,15
1962,Crypt Fever,1,15
2007,Bone Shield,1,15
2003,Wandering Plague,1,15
2043,Ebon Plaguebringer,1,15
2216,Scourge Strike,1,15
2036,Rage of Rivendare,1,15
2000,Summon Gargoyle,1,15
2114,Cobra Reflexes,1,17
2237,Charge,1,9
2116,Great Stamina,1,0
2117,Natural Armor,1,0
2126,Spiked Collar,1,17
2160,Boar's Speed,1,9
2173,Blood of the Rhino,1,0
2122,Pet Barding,1,0
2110,Culling the Herd,1,0
2123,Guard Dog,1,17
2162,Lionhearted,1,0
2277,Thunderstomp,1,9
2163,Grace of the Mantis,1,0
2161,Great Resistance,1,17
2171,Last Stand,1,9
2170,Taunt,1,9
2172,Roar of Sacrifice,1,9
2169,Intervene,1,9
2258,Silverback,1,17
2255,Wild Hunt,1,17
2107,Cobra Reflexes,1,17
2109,Dash,1,9
2203,Dive,1,9
2112,Great Stamina,1,0
2113,Natural Armor,1,0
2124,Improved Cower,1,17
2128,Bloodthirsty,1,17
2125,Spiked Collar,1,17
2151,Boar's Speed,1,9
2106,Culling the Herd,1,0
2152,Lionhearted,1,0
2111,Charge,1,9
2219,Swoop,1,9
2156,Heart of the Phoenix,1,9
2129,Spider's Bite,1,17
2154,Great Resistance,1,17
2155,Rabid,1,9
2153,Lick Your Wounds,1,9
2157,Call of the Wild,1,9
2254,Shark Attack,1,17
2253,Wild Hunt,1,17
2118,Cobra Reflexes,1,17
2119,Dash,1,9
2201,Dive,1,9
2120,Great Stamina,1,0
2121,Natural Armor,1,0
2165,Boar's Speed,1,9
2207,Mobility,1,9
2208,Mobility,1,9
2182,Owl's Focus,1,0
2127,Spiked Collar,1,17
2166,Culling the Herd,1,0
2167,Lionhearted,1,0
2206,Carrion Feeder,1,9
2168,Great Resistance,1,17
2177,Cornered,1,9
2183,Feeding Frenzy,1,9
2181,Wolverine Bite,1,9
2184,Roar of Recovery,1,9
2175,Bullheaded,1,9
2257,Grace of the Mantis,1,0
2256,Wild Hunt,1,17
2278,Roar of Sacrifice,1,9
long,str,2,class
27,Improved Fire Blast,2,3
1141,Incineration,2,3
26,Improved Fireball,2,3
34,Ignite,2,3
2212,Burning Determination,2,3
31,World in Flames,2,3
28,Flame Throwing,2,3
30,Impact,2,3
23,Burning Soul,2,3
25,Improved Scorch,2,3
24,Molten Shields,2,3
1639,Master of Elements,2,3
1730,Playing with Fire,2,3
33,Critical Mass,2,3
1731,Blazing Speed,2,3
35,Fire Power,2,3
1733,Pyromaniac,2,3
1732,Molten Fury,2,3
1848,Fiery Payback,2,0
1734,Empowered Fire,2,3
1849,Firestarter,2,3
1850,Hot Streak,2,3
1851,Burnout,2,3
38,Frostbite,2,3
37,Improved Frostbolt,2,3
62,Ice Floes,2,3
73,Ice Shards,2,3
70,Frost Warding,2,3
1649,Precision,2,3
65,Permafrost,2,3
61,Piercing Ice,2,3
63,Improved Blizzard,2,3
741,Arctic Reach,2,3
66,Frost Channeling,2,3
67,Shatter,2,3
64,Improved Cone of Cold,2,3
1736,Frozen Core,2,3
1737,Cold as Ice,2,3
68,Winter's Chill,2,3
2214,Shattered Barrier,2,3
1738,Arctic Winds,2,3
1740,Empowered Frostbolt,2,3
1853,Fingers of Frost,2,3
1854,Brain Freeze,2,3
1855,Enduring Winter,2,3
1856,Chilled to the Bone,2,3
74,Arcane Subtlety,2,3
76,Arcane Focus,2,3
80,Arcane Stability,2,3
85,Arcane Fortitude,2,0
1650,Magic Absorption,2,3
75,Arcane Concentration,2,3
82,Magic Attunement,2,3
81,Spell Impact,2,3
1845,Student of the Mind,2,0
83,Arcane Shielding,2,3
88,Improved Counterspell,2,3
1142,Arcane Meditation,2,0
2222,Torment the Weak,2,0
1724,Improved Blink,2,3
